Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
332	NCT03545178	Systematic Evaluation of Continuous Glucose Monitoring Data	SECOND	Completed	No Results Available	Diabetes Mellitus			Behavioral: glucose control (Substudy A)|Diagnostic Test: hypoglycemia prediction (Substudy B)	Change of time in target glucose range day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Hypoglycemia prediction (for Substudy B)|Change of time above and below glucose target range day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Change of average and standard deviation glucose day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Sensor wearing time day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Change of coefficient of variation (CV) day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Change of time in hypoglycemia day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Change of time in hyperglycemia day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)|Change of mean amplitude of glucose excursion (MAGE) day 0-3 compared to day 4-28 and day 0-7 compared to day 8-28 prior to consultation (for Substudy A)	"University Hospital Inselspital, Berne"	All	"16 Years and older   (Child, Adult, Older Adult)"		384	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	2018-00207	"April 1, 2018"	19-Jul-19	19-Jul-19	4-Jun-18		13-Aug-19	"Inselspital, Bern University Hospital, University of Bern, Bern, BE, Switzerland"		https://ClinicalTrials.gov/show/NCT03545178
333	NCT03647618	Anatomy Guidance for Regional Anaesthesia		Recruiting	No Results Available	Ultrasound Imaging			Other: Ultrasound	Phase 1 Outcome Measures: - Training/Verification •|Phase II Validation Outcome Measures - Validation	Medaphor Limited	All	"18 Years and older   (Adult, Older Adult)"		200	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	ML2018_AG_02	"December 20, 2018"	1-Apr-20	1-Apr-20	27-Aug-18		14-Jan-20	"St Woolos Hospital, Newport, Wales, United Kingdom"		https://ClinicalTrials.gov/show/NCT03647618
334	NCT04049981	Investigation of Mechanisms of Action in Superpower Glass		Recruiting	No Results Available	Autism Spectrum Disorder|Autism			Device: Superpower Glass	"Change in socialization subscale scores of the Vineland Adaptive Behavior Scales,3rd Edition (VABS-III) from baseline to week 4.|Change in Parent Rated Social Responsiveness Scale 2 (SRS-2) from baseline to week 4|Changes in Parent Self Agency Measure scores from Baseline to Week 4|Change in ASD symptoms as measured by Brief Observation of Social Communication Change (BOSCC) from baseline to week 4"	Stanford University	All	4 Years to 8 Years   (Child)	Phase 1|Phase 2	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	34059|PHIND Dream Team Award|SPARK Pilot Program	"September 4, 2019"	1-Jan-20	1-May-20	8-Aug-19		18-Sep-19	"Stanford University, Stanford, California, United States"		https://ClinicalTrials.gov/show/NCT04049981
335	NCT03253432	IN-TANDEM Familial Hypercholesterolemia Pilot Study		Completed	No Results Available	Familial Hypercholesterolemia		Cardiovascular	Other: Genetic testing	Likelihood of having FH-causing mutation	University of Pennsylvania|The Familial Hypercholesterolemia Foundation|Lancaster General Hospital	All	"18 Years and older   (Adult, Older Adult)"		378	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	826438	"July 20, 2017"	7-Nov-18	7-Nov-18	17-Aug-17		28-Feb-19	"Lancaster General Hospital, Lancaster, Pennsylvania, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States"		https://ClinicalTrials.gov/show/NCT03253432
336	NCT03923699	"Telemedicine Control Tower for the Operating Room: Navigating Information, Care and Safety"	TECTONICS	Recruiting	No Results Available	Surgery|Surgery--Complications|Perioperative/Postoperative Complications			Device: Anesthesia Control Tower monitoring	Number of Participants with clinically relevant adverse perioperative outcomes.|Thirty-day postoperative mortality|Postoperative delirium|Postoperative respiratory failure|Postoperative acute kidney injury	Washington University School of Medicine|National Institute of Nursing Research (NINR)	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	40000	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other	201903026|R01NR017916	"July 1, 2019"	24-Jul	24-Jul	23-Apr-19		22-Jan-20	"Washington University School of Medicine, Saint Louis, Missouri, United States"		https://ClinicalTrials.gov/show/NCT03923699
337	NCT03956004	"The Impact of a Technology-enabled Decision Aid, for Patients With Hip and Knee Osteoarthritis on Decision Quality, Level of Shared Decision-making, Patient Satisfaction and Magnitude of Limitations"		Recruiting	No Results Available	"Osteoarthritis, Knee"			Other: OM1 Dell Shared Decision Making Tool|Other: Education material from OM1 Dell Shared Decision Making Tool	"Knee Osteoarthritis Decision Quality Instrument|CollaboRATE|Numeric rating scale-satisfaction|Knee injury and osteoarthritis outcome score, joint replacement (KOOS JR)|Undergoing joint replacement surgery or not|Average time of patient visit and average time spent with provider"	University of Texas at Austin	All	"45 Years to 89 Years   (Adult, Older Adult)"	Not Applicable	250	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other	2018-11-0042	"March 28, 2019"	20-Jun	20-Jun	20-May-19		20-May-19	"UT Health Austin, Austin, Texas, United States"		https://ClinicalTrials.gov/show/NCT03956004
338	NCT01668979	"Assessment of a New System to Detect, Quantify and Treat Near Falls in Older Adults"		Unknown status	No Results Available	Idiopathic Fallers			Device: new system to detect Near Falls	usability of the system to detect Near Falls|Near Fall severity	Tel-Aviv Sourasky Medical Center	All	"60 Years to 85 Years   (Adult, Older Adult)"		20	Other	Observational	Observational Model: Cohort|Time Perspective: Cross-Sectional	TASMC-12-NG-0363-CTIL	"September 1, 2012"	13-Sep	13-Sep	20-Aug-12		20-Aug-12	"Tel Aviv Sourasky Medical Center, Tel Aviv, Israel"		https://ClinicalTrials.gov/show/NCT01668979
339	NCT04126239	Validation of a Food Addiction Screening Test	FAST - FR	Recruiting	No Results Available	Food Addiction|Obesity			Other: Online survey - questionnaire	FAST score|YFAS 2.0|BES score|DEBQ score	Hospices Civils de Lyon	All	"18 Years to 70 Years   (Adult, Older Adult)"		1610	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	69HCL19_0320	"October 7, 2019"	31-Oct-20	30-Jun-21	15-Oct-19		15-Oct-19	"Centre Hospitalier Lyon Sud, Pierre-Bénite, France"		https://ClinicalTrials.gov/show/NCT04126239
340	NCT03601065	Computer Assisted Detection & Selection of Serrated Adenomas and Neoplastic Polyps - a New Clinical DRAft	CASSANDRA II	Not yet recruiting	No Results Available	Colonic Polyps			"Other: Videos of polyps, resection of polyps"	Assessment of the computer- made optical diagnosis of each colorectal polyp	Technische Universität München|Chair of Computer Aided Medical Procedures & Augmented Reality; Institut für Informatik I16 Technische Universität München	All	"18 Years and older   (Adult, Older Adult)"		250	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	CASSANDRA II	"August 1, 2018"	19-Jul	19-Oct	26-Jul-18		26-Jul-18	"Klinik für Innere Medizin II am Klinikum rechts der Isar der Technischen Universität München München, Deutschland Germany, Munich, Germany"		https://ClinicalTrials.gov/show/NCT03601065
341	NCT03414853	Free Text Prediction Algorithm for Appendicitis		Recruiting	No Results Available	Acute Appendicitis|Abdominal Pain			Diagnostic Test: Free text prediction algorithm for appendicitis	Accuracy of predictive algorithm for acute appendicitis	"National University Hospital, Singapore"	All	"21 Years to 99 Years   (Adult, Older Adult)"		5000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	N-171-000-456-001	"December 4, 2017"	31-May-19	1-Jul-19	30-Jan-18		16-Apr-19	"National University Hospital, Singapore, Singapore"		https://ClinicalTrials.gov/show/NCT03414853
342	NCT03406455	Telemedicine in Total Knee Arthroplasty Using Wearable Technology		Completed	No Results Available	Knee Arthritis				Acceptability|Step Count in steps per day|Maximum knee range of motion in degrees|Patient Reported Outcome Measures (linear numeric scale from 0 to 28)|Home Exercise Plan compliance	The Cleveland Clinic	All	"60 Years to 80 Years   (Adult, Older Adult)"		25	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	ClevelandCF02	"July 2, 2018"	15-May-19	15-May-19	23-Jan-18		24-Jul-19	"Cleveland Clinic, Cleveland, Ohio, United States"		https://ClinicalTrials.gov/show/NCT03406455
343	NCT03849755	Patient Empowerment Through Predictive Personalised Decision Support(PEPPER)-Validation Study.	PEPPER	Enrolling by invitation	No Results Available	"Diabetes Mellitus, Type 1"			Device: PEPPER system	"Change in the percentage of time in glucose target range (glucose levels 3.9-10 mmol/l or 70 - 180 mg/dl)|Change in glycosylated hemoglobin (HbA1c) value|Change in the number of episodes of post-prandial hypoglycaemia (glucose level below 3,9 mmol/L or 70 mg/dl) within 4 hours|Change in the number of episodes of post-prandial hypoglycaemia (glucose level below 3,9 mmol/L or 70 mg/dl) within 6 hours|Change in the percentage of time in hyperglycaemia (glucose level above 10 mmol/l or 180 mg/dl)|Change in the percentage of time in hypoglycaemia (glucose level below 3, 9 mmol/L or 70 mg/dl)|Change in the post-prandial area under the curve (AUC) of glucose level at 4 hours|Change in the post-prandial area under the curve (AUC) of glucose level at 6 hours|Change in the post-prandial area under the curve (AUC) (< 3,9 mmol/l or <70 mg/dl) of glucose level at 4 hours|Change in the post-prandial area under the curve (AUC) (< 3,9 mmol/l or <70 mg/dl) of glucose level at 6 hours|Change in glycaemic risk measured with low blood glucose index (LBGI)|Change in glycaemic risk measured with high blood glucose index (HBGI)|Change in glycaemic variability measured with mean amplitude of glycaemic excursions (MAGE)|Change in glycaemic variability measured with continuous overall net glycemic action at 2 hours (CONGA-2)|Change in weight (kg)|Change in insulin dose requirements|Measurement of satisfaction of diabetes treatment using Diabetes Treatment Satisfaction Questionnaire (DTSQ)|Measurement of quality of life in patients with diabetes mellitus using Diabetes Quality of Life (DQOL) questionnaire|Measurement of diabetes related problems by using Problem Areas in Diabetes (PAID) questionnaire|Measurement of health-related quality of life by using EQ-5D questionnaire|Number of incidence of low glucose alarms|Number of incidence of high glucose alarms|Number of incidence of carbohydrate recommender|Number of incidence of low glucose suspend|Number of incidence of fault detection alarm|Number of technical faults of the PEPPER safety system (any of the components listed above)|Evaluation of usability of PEPPER system by conducting the usability test"	Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta|Imperial College London|Oxford Brookes University|Universitat de Girona|Cellnovo Limited|Romsoft SRL	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care	669/18/EC|689810	"November 15, 2018"	31-Jan-20	31-Jan-20	21-Feb-19		1-Aug-19	"Institut d'Investigació Biomèdica de Girona (IDIBGI), Girona, Spain"		https://ClinicalTrials.gov/show/NCT03849755
344	NCT03858699	Brain Vital Signs M-Score: Point-of-care Monitoring for Motor Recovery After Stroke		Recruiting	No Results Available	Stroke			Other: Recording of electroencephalographic (EEG) data	Resting state EEG measures|Motor task EEG measures|Imagery task EEG measures|Wolf Motor Function Test|Fugl-Meyer Assessment|Box-and-Block Test|Nine-Hole Peg Test	HealthTech Connex Inc.	All	"19 Years to 80 Years   (Adult, Older Adult)"		60	Industry	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	HTC_MScore_001	"April 15, 2019"	31-Jan-20	31-Jan-20	1-Mar-19		9-Aug-19	"HealthTech Connex Centre for Neurology Studies, Surrey, British Columbia, Canada"		https://ClinicalTrials.gov/show/NCT03858699
345	NCT04262557	Sunrise® a New Medical Device to Diagnose Sleep Apnea Syndrome	SENSAPNEA	Not yet recruiting	No Results Available	"Sleep Apnea Syndrome, Obstructive"			Diagnostic Test: Sunrise® solution|Diagnostic Test: Polysomnography	The performance of Sunrise® to detect the respiratory event index (REI)|Evaluation of the Sunrise® reproductibility on three consecutive nights|Evaluation of the sleep quality: depth of sleep|Evaluation of the sleep quality: number of wake-ups|Evaluation of the sleep quality: sleep duration	"University Hospital, Grenoble|SUNRISE|Icadom|DOCAPOST"	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	40	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	38RC19.358	"February 28, 2020"	31-Oct-20	31-Dec-20	10-Feb-20		10-Feb-20	"University Hospital Grenoble Alpes, Grenoble, France"		https://ClinicalTrials.gov/show/NCT04262557
346	NCT03768999	Comparison of Magnetic Resonance Coronary Angiography (MRCA) With Coronary Computed Tomography Angiography (CTA)		Recruiting	No Results Available	Magnetic Resonance Angiography			Diagnostic Test: Non-contrast magnetic resonance coronary angiography (MRCA)	The SI drop (%) threshold that corresponds to the significant stenosis in coronary CTA.|Semi-quantitative image quality assessment score for each segments in MRCA|Visible coronary length in MRCA	Johns Hopkins University|Canon Medical Systems	All	"18 Years and older   (Adult, Older Adult)"		50	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	IRB00196000	"September 3, 2019"	20-Apr	20-Oct	7-Dec-18		16-Sep-19	"Division of Cardiology, Johns Hopkins University School of Medicine, Baltimore, Maryland, United States"		https://ClinicalTrials.gov/show/NCT03768999
347	NCT04208932	A Kynurenine Pathway-based Molecular Imaging Study of Individualized Diagnosis and Treatment for Major Depressive Disorder		Recruiting	No Results Available	Major Depressive Disorder			Drug: SSRIs	remission of acute phase	Shanghai Mental Health Center|Shanghai Jiao Tong University School of Medicine	All	18 Years to 60 Years   (Adult)		440	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	ZH2018ZDA29	"August 12, 2019"	31-Dec-21	31-Dec-21	23-Dec-19		26-Dec-19	"Shanghai Mental Health Center, Shanghai, Shanghai, China"		https://ClinicalTrials.gov/show/NCT04208932
348	NCT03845660	Risk EValuation And Its Impact on ClinicAL Decision Making and Outcomes in Heart Failure	REVeAL-HF	Recruiting	No Results Available	Heart Failure		Cardiovascular	Behavioral: Electronic Alert	All-Cause Mortality|Heart failure Re-hospitalization|Length of stay|Discharge doses of heart failure therapies|Palliative care referral|Advanced therapies referral|Electrophysiology referral|Weight Change	Yale University	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	4000	Other	Interventional	"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Other"	2000025000	"January 1, 2020"	30-Dec-22	30-Dec-24	19-Feb-19		21-Jan-20	"Yale New Haven Hospital, New Haven, Connecticut, United States"		https://ClinicalTrials.gov/show/NCT03845660
